;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1265896;Name35896;FistName35896;1981-07-07;Ville3;Pays2;NS000035896;NULL;+336##0599738;64;NomVoie8135896;NULL;#8468;Ville19;Pays2;2020-06-14-03-16-38;2020-06-14-03-16-38
1;1240672;Name10672;FistName10672;1950-04-12;Ville23;Pays1;NS000010672;NULL;+336##0575518;36;NomVoie9210672;NULL;#4504;Ville8;Pays2;2010-04-26-08-09-13;2010-04-26-08-09-13
2;1260120;Name30120;FistName30120;2002-02-23;Ville21;Pays2;NS000030120;NULL;+336##0229724;92;NomVoie4530120;NULL;#8109;Ville25;Pays2;2010-01-10-02-58-39;2010-01-10-02-58-39
3;1241070;Name11070;FistName11070;1964-10-18;Ville20;Pays1;NS000011070;NULL;+336##0344528;11;NomVoie3811070;NULL;#2684;Ville15;Pays1;2003-03-10-09-27-34;2003-03-10-09-27-34
4;1237443;Name7443;FistName7443;1982-10-14;Ville12;Pays2;NS000007443;NULL;+336##0125811;47;NomVoie987443;NULL;#6236;Ville20;Pays2;2004-03-14-11-24-40;2004-03-14-11-24-40
5;1239974;Name9974;FistName9974;2005-07-21;Ville24;Pays2;NS000009974;NULL;+336##0039878;19;NomVoie469974;NULL;#7630;Ville1;Pays2;2006-03-08-08-30-26;2006-03-08-08-30-26
6;1246987;Name16987;FistName16987;1959-08-12;Ville22;Pays2;NS000016987;NULL;+336##0841131;15;NomVoie1616987;NULL;#8515;Ville12;Pays1;2019-03-25-01-21-43;2019-03-25-01-21-43
7;1274601;Name44601;FistName44601;2008-11-03;Ville23;Pays1;NS000044601;NULL;+336##0018370;53;NomVoie5244601;NULL;#8251;Ville18;Pays2;2020-05-10-09-16-41;2020-05-10-09-16-41
8;1270396;Name40396;FistName40396;1986-04-21;Ville23;Pays1;NS000040396;NULL;+336##0545366;61;NomVoie5740396;NULL;#3124;Ville20;Pays2;2005-03-18-06-09-41;2005-03-18-06-09-41
9;1278864;Name48864;FistName48864;1937-10-27;Ville14;Pays2;NS000048864;NULL;+336##0698797;19;NomVoie3348864;NULL;#4842;Ville1;Pays2;2016-02-13-14-58-09;2016-02-13-14-58-09
10;1259726;Name29726;FistName29726;1965-01-20;Ville5;Pays3;NS000029726;NULL;+336##0525512;44;NomVoie2629726;NULL;#0032;Ville3;Pays1;1999-11-03-01-32-10;1999-11-03-01-32-10
11;1247027;Name17027;FistName17027;2017-11-18;Ville21;Pays2;NS000017027;NULL;+336##0621443;54;NomVoie8917027;NULL;#4230;Ville9;Pays1;2017-04-23-01-24-05;2017-04-23-01-24-05
12;1245296;Name15296;FistName15296;1953-02-01;Ville18;Pays3;NS000015296;NULL;+336##0068339;77;NomVoie615296;NULL;#9971;Ville2;Pays2;2004-10-20-14-25-23;2004-10-20-14-25-23
13;1231958;Name1958;FistName1958;1960-07-04;Ville9;Pays1;NS000001958;NULL;+336##0667530;79;NomVoie161958;NULL;#2936;Ville2;Pays1;2012-07-15-10-27-16;2012-07-15-10-27-16
14;1246725;Name16725;FistName16725;2015-01-15;Ville2;Pays2;NS000016725;NULL;+336##0588843;11;NomVoie9516725;NULL;#6663;Ville11;Pays1;2000-01-13-02-43-01;2000-01-13-02-43-01
