;ID_PATIENT;NOM_PATIENT;PRENOM_PATIENT;DT_NAISS;VILLE_NAISS;PAYS_NAISS;NUM_SECU;IND_PAYS_NUM_TELP;NUM_TELEPHONE;NUM_VOIE;DSC_VOIE;CMPL_VOIE;CD_POSTAL;VILLE;PAYS;TS_CREATION_PATIENT;TS_MAJ_PATIENT
0;1279540;Name49540;FistName49540;2017-08-04;Ville16;Pays2;NS000049540;NULL;+336##0663889;28;NomVoie3549540;NULL;#5721;Ville22;Pays2;2007-08-10-04-06-45;2007-08-10-04-06-45
1;1263812;Name33812;FistName33812;2001-04-23;Ville9;Pays1;NS000033812;NULL;+336##0656052;26;NomVoie733812;NULL;#9085;Ville14;Pays1;2006-04-10-22-13-39;2006-04-10-22-13-39
2;1270784;Name40784;FistName40784;2000-06-25;Ville9;Pays3;NS000040784;NULL;+336##0305190;90;NomVoie1940784;NULL;#7898;Ville19;Pays1;2014-07-08-13-22-56;2014-07-08-13-22-56
3;1262165;Name32165;FistName32165;1978-08-27;Ville24;Pays2;NS000032165;NULL;+336##0612452;63;NomVoie1032165;NULL;#4692;Ville22;Pays3;1998-11-17-15-25-07;1998-11-17-15-25-07
4;1275106;Name45106;FistName45106;1990-09-05;Ville1;Pays2;NS000045106;NULL;+336##0757580;44;NomVoie6445106;NULL;#3133;Ville18;Pays1;2015-02-13-14-40-38;2015-02-13-14-40-38
5;1241686;Name11686;FistName11686;1972-09-27;Ville25;Pays1;NS000011686;NULL;+336##0244400;41;NomVoie6011686;NULL;#9420;Ville12;Pays2;2015-06-26-07-15-50;2015-06-26-07-15-50
6;1245261;Name15261;FistName15261;1947-01-02;Ville14;Pays2;NS000015261;NULL;+336##0557124;83;NomVoie9915261;NULL;#8732;Ville4;Pays1;2016-09-26-06-38-49;2016-09-26-06-38-49
7;1234350;Name4350;FistName4350;2005-01-13;Ville12;Pays2;NS000004350;NULL;+336##0873049;53;NomVoie184350;NULL;#1942;Ville25;Pays2;2019-03-13-06-06-23;2019-03-13-06-06-23
8;1277854;Name47854;FistName47854;2002-07-10;Ville12;Pays3;NS000047854;NULL;+336##0152162;71;NomVoie9147854;NULL;#9097;Ville25;Pays4;2021-06-16-19-25-19;2021-06-16-19-25-19
9;1251365;Name21365;FistName21365;2016-11-04;Ville25;Pays1;NS000021365;NULL;+336##0692126;58;NomVoie9921365;NULL;#3623;Ville20;Pays2;2000-11-08-10-39-27;2000-11-08-10-39-27
10;1254636;Name24636;FistName24636;1936-11-03;Ville8;Pays3;NS000024636;NULL;+336##0323502;17;NomVoie724636;NULL;#9541;Ville9;Pays2;2021-05-14-21-15-12;2021-05-14-21-15-12
11;1253644;Name23644;FistName23644;1948-02-21;Ville2;Pays3;NS000023644;NULL;+336##0129212;50;NomVoie2023644;NULL;#3096;Ville16;Pays2;2021-04-24-15-09-30;2021-04-24-15-09-30
12;1267320;Name37320;FistName37320;1991-04-06;Ville15;Pays1;NS000037320;NULL;+336##0862384;43;NomVoie937320;NULL;#1610;Ville13;Pays1;2005-10-11-13-23-19;2005-10-11-13-23-19
13;1244299;Name14299;FistName14299;1950-10-15;Ville11;Pays3;NS000014299;NULL;+336##0568104;29;NomVoie9714299;NULL;#1309;Ville9;Pays3;2015-04-02-04-44-27;2015-04-02-04-44-27
14;1242997;Name12997;FistName12997;1978-05-18;Ville6;Pays2;NS000012997;NULL;+336##0440008;60;NomVoie7112997;NULL;#1554;Ville5;Pays2;2006-04-24-18-40-46;2006-04-24-18-40-46
15;1277793;Name47793;FistName47793;1991-04-16;Ville21;Pays3;NS000047793;NULL;+336##0031350;90;NomVoie7347793;NULL;#8626;Ville13;Pays1;2009-07-25-19-27-20;2009-07-25-19-27-20
16;1279826;Name49826;FistName49826;1984-05-07;Ville17;Pays3;NS000049826;NULL;+336##0308392;34;NomVoie4849826;NULL;#8052;Ville11;Pays2;2008-10-03-14-50-21;2008-10-03-14-50-21
17;1233036;Name3036;FistName3036;1933-05-08;Ville14;Pays3;NS000003036;NULL;+336##0885802;81;NomVoie603036;NULL;#8041;Ville20;Pays1;2004-04-26-13-43-59;2004-04-26-13-43-59
