PART_ID,STRT_NUM,STRT_DSC,COMP_STRT,POST_CD,CITY_NAME,CNTR_NAME,STRT_VALD_DTTM,END_VALD_DTTM,EXEC_ID
2759,25,NomVoie4712932,NULL,#4544,Ville9,Pays4,2014-03-01 19:56:13,2014-03-01 19:56:13,12345
8411,12,NomVoie7739650,NULL,#6139,Ville6,Pays2,2005-06-11 05:01:17,2005-06-11 05:01:17,12345
5292,41,NomVoie3725047,NULL,#6279,Ville25,Pays4,1998-09-18 06:05:28,1998-09-18 06:05:28,12345
5149,25,NomVoie9124421,NULL,#4030,Ville18,Pays1,2002-05-12 12:15:46,2002-05-12 12:15:46,12345
2379,8,NomVoie1011033,NULL,#8800,Ville9,Pays2,2015-01-15 12:09:09,2015-01-15 12:09:09,12345
6950,92,NomVoie8132979,NULL,#0154,Ville6,Pays3,2017-09-21 19:30:12,2017-09-21 19:30:12,12345
9042,71,NomVoie9142783,NULL,#5637,Ville13,Pays2,2014-04-27 14:13:26,2014-04-27 14:13:26,12345
1937,79,NomVoie768958,NULL,#4607,Ville7,Pays2,2021-04-10 12:52:16,2021-04-10 12:52:16,12345
10522,45,NomVoie8849562,NULL,#4341,Ville5,Pays2,2011-08-09 09:47:16,2011-08-09 09:47:16,12345
5442,35,NomVoie1925778,NULL,#6045,Ville22,Pays3,1998-11-16 02:36:06,1998-11-16 02:36:06,12345
7023,85,NomVoie3233209,NULL,#1680,Ville5,Pays3,1998-04-25 12:35:49,1998-04-25 12:35:49,12345
2051,50,NomVoie539478,NULL,#6867,Ville9,Pays1,2022-06-21 18:25:37,2022-06-21 18:25:37,12345
5735,55,NomVoie5027193,NULL,#0756,Ville9,Pays4,2021-04-13 06:33:52,2021-04-13 06:33:52,12345
2738,58,NomVoie7412850,NULL,#2941,Ville14,Pays1,2003-07-22 15:08:48,2003-07-22 15:08:48,12345
3742,6,NomVoie3717637,NULL,#0843,Ville2,Pays3,2023-03-10 05:44:13,2023-03-10 05:44:13,12345
3325,81,NomVoie6015683,NULL,#2899,Ville4,Pays2,2000-09-09 18:16:05,2000-09-09 18:16:05,12345
7330,59,NomVoie3934511,NULL,#8656,Ville11,Pays1,2007-03-25 21:55:51,2007-03-25 21:55:51,12345
5120,87,NomVoie6924306,NULL,#7968,Ville20,Pays2,2009-01-20 04:20:05,2009-01-20 04:20:05,12345
3306,75,NomVoie3915616,NULL,#8203,Ville12,Pays1,2008-07-09 23:48:26,2008-07-09 23:48:26,12345
5102,43,NomVoie6924246,NULL,#7125,Ville12,Pays2,1999-01-19 09:55:48,1999-01-19 09:55:48,12345
4876,72,NomVoie6323159,NULL,#4635,Ville3,Pays1,2004-11-10 17:10:30,2004-11-10 17:10:30,12345
9289,25,NomVoie3243893,NULL,#6710,Ville21,Pays2,2004-11-21 10:53:35,2004-11-21 10:53:35,12345
5363,87,NomVoie8425413,NULL,#0705,Ville12,Pays2,2019-07-26 09:21:44,2019-07-26 09:21:44,12345
9859,30,NomVoie5246553,NULL,#6892,Ville2,Pays2,1998-10-24 13:14:16,1998-10-24 13:14:16,12345
1514,93,NomVoie286715,NULL,#7130,Ville4,Pays3,2002-10-13 20:29:59,2002-10-13 20:29:59,12345
7667,73,NomVoie336206,NULL,#1666,Ville18,Pays2,2002-04-04 02:45:24,2002-04-04 02:45:24,12345
10593,93,NomVoie749928,NULL,#1975,Ville1,Pays3,1997-06-27 16:05:37,1997-06-27 16:05:37,12345
2703,5,NomVoie2112673,NULL,#9592,Ville25,Pays3,1997-02-13 14:34:17,1997-02-13 14:34:17,12345
9517,67,NomVoie7244939,NULL,#3205,Ville17,Pays1,2011-02-24 12:07:21,2011-02-24 12:07:21,12345
9028,29,NomVoie5342718,NULL,#5437,Ville14,Pays2,2019-05-27 02:55:54,2019-05-27 02:55:54,12345
10445,57,NomVoie1649247,NULL,#6084,Ville6,Pays2,2011-01-24 09:09:35,2011-01-24 09:09:35,12345
3965,6,NomVoie2218722,NULL,#6148,Ville2,Pays2,2019-08-03 01:39:13,2019-08-03 01:39:13,12345
6875,70,NomVoie8432631,NULL,#1745,Ville6,Pays3,2002-09-06 06:52:44,2002-09-06 06:52:44,12345
1788,91,NomVoie608130,NULL,#3252,Ville8,Pays2,2009-07-18 21:12:16,2009-07-18 21:12:16,12345
9356,12,NomVoie044234,NULL,#4280,Ville20,Pays1,2017-03-23 18:36:29,2017-03-23 18:36:29,12345
9087,56,NomVoie243019,NULL,#0647,Ville1,Pays5,2005-06-04 05:32:20,2005-06-04 05:32:20,12345
1922,60,NomVoie328872,NULL,#3668,Ville20,Pays1,2004-05-21 08:45:35,2004-05-21 08:45:35,12345
5502,91,NomVoie6826101,NULL,#6705,Ville6,Pays1,2019-08-01 06:19:46,2019-08-01 06:19:46,12345
5124,64,NomVoie5324315,NULL,#1108,Ville13,Pays1,1999-07-22 12:40:55,1999-07-22 12:40:55,12345
8505,61,NomVoie3540134,NULL,#3943,Ville4,Pays2,2012-04-22 10:42:09,2012-04-22 10:42:09,12345
3956,68,NomVoie9318687,NULL,#3008,Ville23,Pays1,2001-02-03 03:33:45,2001-02-03 03:33:45,12345
3624,93,NomVoie7017062,NULL,#7643,Ville13,Pays2,2005-09-17 22:44:55,2005-09-17 22:44:55,12345
6965,74,NomVoie7733017,NULL,#4461,Ville17,Pays2,2020-04-01 20:29:47,2020-04-01 20:29:47,12345
6671,67,NomVoie5031702,NULL,#2193,Ville19,Pays1,2015-04-12 05:05:42,2015-04-12 05:05:42,12345
1256,13,NomVoie145394,NULL,#9770,Ville20,Pays2,2003-06-18 06:15:53,2003-06-18 06:15:53,12345
1708,22,NomVoie497734,NULL,#5359,Ville17,Pays1,2000-01-22 19:50:32,2000-01-22 19:50:32,12345
6431,61,NomVoie4730593,NULL,#6893,Ville5,Pays2,1998-02-09 07:36:12,1998-02-09 07:36:12,12345
9674,64,NomVoie9945698,NULL,#7140,Ville20,Pays1,2005-10-19 02:08:39,2005-10-19 02:08:39,12345
1777,97,NomVoie528062,NULL,#8501,Ville4,Pays2,2014-08-09 22:32:25,2014-08-09 22:32:25,12345
10405,59,NomVoie5849086,NULL,#8468,Ville15,Pays1,2019-09-02 02:16:24,2019-09-02 02:16:24,12345
2386,81,NomVoie511056,NULL,#1096,Ville20,Pays4,2017-09-24 07:26:11,2017-09-24 07:26:11,12345
10344,71,NomVoie1148872,NULL,#6578,Ville24,Pays2,1997-03-05 16:08:30,1997-03-05 16:08:30,12345
4975,54,NomVoie2123668,NULL,#1072,Ville4,Pays3,2005-01-01 15:01:26,2005-01-01 15:01:26,12345
3116,10,NomVoie3714616,NULL,#3782,Ville10,Pays1,2022-11-04 10:54:25,2022-11-04 10:54:25,12345
8313,31,NomVoie339245,NULL,#7313,Ville11,Pays2,2019-10-25 18:39:11,2019-10-25 18:39:11,12345
9750,52,NomVoie9446046,NULL,#6816,Ville24,Pays1,1998-08-03 10:13:49,1998-08-03 10:13:49,12345
