PART_ID,INDV_NAME,INDV_FIRS_NAME,INDV_STTS_CD,CRTN_DTTM,UPDT_DTTM,BIRT_DT,BIRT_CITY,BIRT_CNTR,SOCL_NUM,EXEC_ID
2759,Name12932,FistName12932,Actif,2014-03-01 19:56:13,2014-03-01 19:56:13,2008-02-03,Ville6,Pays2,NS000012932,12345
8411,Name39650,FistName39650,Actif,2005-06-11 05:01:17,2005-06-11 05:01:17,1962-02-14,Ville7,Pays3,NS000039650,12345
5292,Name25047,FistName25047,Actif,1998-09-18 06:05:28,1998-09-18 06:05:28,1958-04-14,Ville23,Pays3,NS000025047,12345
5149,Name24421,FistName24421,Actif,2002-05-12 12:15:46,2002-05-12 12:15:46,1986-09-10,Ville16,Pays2,NS000024421,12345
2379,Name11033,FistName11033,Actif,2015-01-15 12:09:09,2015-01-15 12:09:09,2004-01-09,Ville9,Pays3,NS000011033,12345
6950,Name32979,FistName32979,Actif,2017-09-21 19:30:12,2017-09-21 19:30:12,1973-05-27,Ville16,Pays2,NS000032979,12345
9042,Name42783,FistName42783,Actif,2014-04-27 14:13:26,2014-04-27 14:13:26,1985-01-15,Ville18,Pays2,NS000042783,12345
1937,Name8958,FistName8958,Actif,2021-04-10 12:52:16,2021-04-10 12:52:16,1987-10-07,Ville8,Pays3,NS000008958,12345
10522,Name49562,FistName49562,Actif,2011-08-09 09:47:16,2011-08-09 09:47:16,1933-10-13,Ville8,Pays3,NS000049562,12345
5442,Name25778,FistName25778,Actif,1998-11-16 02:36:06,1998-11-16 02:36:06,1941-01-12,Ville17,Pays2,NS000025778,12345
7023,Name33209,FistName33209,Actif,1998-04-25 12:35:49,1998-04-25 12:35:49,1940-09-07,Ville17,Pays2,NS000033209,12345
2051,Name9478,FistName9478,Actif,2022-06-21 18:25:37,2022-06-21 18:25:37,2000-05-11,Ville11,Pays2,NS000009478,12345
5735,Name27193,FistName27193,Actif,2021-04-13 06:33:52,2021-04-13 06:33:52,1939-09-15,Ville10,Pays4,NS000027193,12345
2738,Name12850,FistName12850,Actif,2003-07-22 15:08:48,2003-07-22 15:08:48,2005-11-08,Ville3,Pays1,NS000012850,12345
3742,Name17637,FistName17637,Actif,2023-03-10 05:44:13,2023-03-10 05:44:13,2011-06-03,Ville19,Pays2,NS000017637,12345
3325,Name15683,FistName15683,Actif,2000-09-09 18:16:05,2000-09-09 18:16:05,1998-01-14,Ville25,Pays4,NS000015683,12345
7330,Name34511,FistName34511,Actif,2007-03-25 21:55:51,2007-03-25 21:55:51,1977-07-06,Ville11,Pays2,NS000034511,12345
5120,Name24306,FistName24306,Actif,2009-01-20 04:20:05,2009-01-20 04:20:05,1993-05-05,Ville23,Pays2,NS000024306,12345
3306,Name15616,FistName15616,Actif,2008-07-09 23:48:26,2008-07-09 23:48:26,1996-03-10,Ville19,Pays2,NS000015616,12345
5102,Name24246,FistName24246,Actif,1999-01-19 09:55:48,1999-01-19 09:55:48,1954-07-18,Ville15,Pays2,NS000024246,12345
4876,Name23159,FistName23159,Actif,2004-11-10 17:10:30,2004-11-10 17:10:30,2014-01-19,Ville17,Pays3,NS000023159,12345
9289,Name43893,FistName43893,Actif,2004-11-21 10:53:35,2004-11-21 10:53:35,2010-06-10,Ville10,Pays4,NS000043893,12345
5363,Name25413,FistName25413,Actif,2019-07-26 09:21:44,2019-07-26 09:21:44,1997-10-17,Ville4,Pays2,NS000025413,12345
9859,Name46553,FistName46553,Actif,1998-10-24 13:14:16,1998-10-24 13:14:16,1945-01-07,Ville3,Pays2,NS000046553,12345
1514,Name6715,FistName6715,Actif,2002-10-13 20:29:59,2002-10-13 20:29:59,2006-10-03,Ville8,Pays2,NS000006715,12345
7667,Name36206,FistName36206,Actif,2002-04-04 02:45:24,2002-04-04 02:45:24,1994-10-06,Ville5,Pays5,NS000036206,12345
10593,Name49928,FistName49928,Actif,1997-06-27 16:05:37,1997-06-27 16:05:37,1951-11-21,Ville20,Pays1,NS000049928,12345
2703,Name12673,FistName12673,Actif,1997-02-13 14:34:17,1997-02-13 14:34:17,1939-04-14,Ville13,Pays2,NS000012673,12345
9517,Name44939,FistName44939,Actif,2011-02-24 12:07:21,2011-02-24 12:07:21,1961-05-09,Ville10,Pays1,NS000044939,12345
9028,Name42718,FistName42718,Actif,2019-05-27 02:55:54,2019-05-27 02:55:54,1941-07-02,Ville23,Pays2,NS000042718,12345
10445,Name49247,FistName49247,Actif,2011-01-24 09:09:35,2011-01-24 09:09:35,1932-01-17,Ville15,Pays2,NS000049247,12345
3965,Name18722,FistName18722,Actif,2019-08-03 01:39:13,2019-08-03 01:39:13,2009-03-03,Ville17,Pays1,NS000018722,12345
6875,Name32631,FistName32631,Actif,2002-09-06 06:52:44,2002-09-06 06:52:44,2008-01-10,Ville14,Pays1,NS000032631,12345
1788,Name8130,FistName8130,Actif,2009-07-18 21:12:16,2009-07-18 21:12:16,1969-03-02,Ville18,Pays1,NS000008130,12345
9356,Name44234,FistName44234,Actif,2017-03-23 18:36:29,2017-03-23 18:36:29,1957-05-07,Ville4,Pays2,NS000044234,12345
9087,Name43019,FistName43019,Actif,2005-06-04 05:32:20,2005-06-04 05:32:20,1951-04-13,Ville1,Pays2,NS000043019,12345
1922,Name8872,FistName8872,Actif,2004-05-21 08:45:35,2004-05-21 08:45:35,1951-04-14,Ville6,Pays3,NS000008872,12345
5502,Name26101,FistName26101,Actif,2019-08-01 06:19:46,2019-08-01 06:19:46,1978-10-17,Ville3,Pays1,NS000026101,12345
5124,Name24315,FistName24315,Actif,1999-07-22 12:40:55,1999-07-22 12:40:55,1957-03-04,Ville21,Pays3,NS000024315,12345
8505,Name40134,FistName40134,Actif,2012-04-22 10:42:09,2012-04-22 10:42:09,1988-03-19,Ville23,Pays2,NS000040134,12345
3956,Name18687,FistName18687,Actif,2001-02-03 03:33:45,2001-02-03 03:33:45,1995-01-25,Ville22,Pays3,NS000018687,12345
3624,Name17062,FistName17062,Actif,2005-09-17 22:44:55,2005-09-17 22:44:55,1986-03-22,Ville7,Pays2,NS000017062,12345
6965,Name33017,FistName33017,Actif,2020-04-01 20:29:47,2020-04-01 20:29:47,1945-05-15,Ville16,Pays1,NS000033017,12345
6671,Name31702,FistName31702,Actif,2015-04-12 05:05:42,2015-04-12 05:05:42,1986-05-26,Ville3,Pays3,NS000031702,12345
1256,Name5394,FistName5394,Actif,2003-06-18 06:15:53,2003-06-18 06:15:53,1950-06-26,Ville14,Pays3,NS000005394,12345
1708,Name7734,FistName7734,Actif,2000-01-22 19:50:32,2000-01-22 19:50:32,1994-05-08,Ville9,Pays4,NS000007734,12345
6431,Name30593,FistName30593,Actif,1998-02-09 07:36:12,1998-02-09 07:36:12,1948-10-03,Ville5,Pays2,NS000030593,12345
9674,Name45698,FistName45698,Actif,2005-10-19 02:08:39,2005-10-19 02:08:39,1941-05-24,Ville14,Pays1,NS000045698,12345
1777,Name8062,FistName8062,Actif,2014-08-09 22:32:25,2014-08-09 22:32:25,2010-04-24,Ville14,Pays3,NS000008062,12345
10405,Name49086,FistName49086,Actif,2019-09-02 02:16:24,2019-09-02 02:16:24,1954-03-18,Ville25,Pays3,NS000049086,12345
2386,Name11056,FistName11056,Actif,2017-09-24 07:26:11,2017-09-24 07:26:11,1954-05-10,Ville22,Pays2,NS000011056,12345
10344,Name48872,FistName48872,Actif,1997-03-05 16:08:30,1997-03-05 16:08:30,2004-06-03,Ville3,Pays1,NS000048872,12345
4975,Name23668,FistName23668,Actif,2005-01-01 15:01:26,2005-01-01 15:01:26,1980-03-23,Ville22,Pays1,NS000023668,12345
3116,Name14616,FistName14616,Actif,2022-11-04 10:54:25,2022-11-04 10:54:25,1996-07-12,Ville11,Pays2,NS000014616,12345
8313,Name39245,FistName39245,Actif,2019-10-25 18:39:11,2019-10-25 18:39:11,1969-03-24,Ville11,Pays2,NS000039245,12345
9750,Name46046,FistName46046,Actif,1998-08-03 10:13:49,1998-08-03 10:13:49,1980-05-07,Ville23,Pays4,NS000046046,12345
6274,Name29885,FistName29885,Actif,2004-11-14 22:26:48,2004-11-14 22:26:48,1991-03-26,Ville3,Pays3,NS000029885,12345
842,Name3412,FistName3412,Actif,2015-03-01 10:59:01,2015-03-01 10:59:01,1994-08-07,Ville10,Pays1,NS000003412,12345
4746,Name22570,FistName22570,Actif,2007-08-08 01:19:46,2007-08-08 01:19:46,1997-04-02,Ville1,Pays3,NS000022570,12345
7836,Name36994,FistName36994,Actif,2022-10-07 17:44:53,2022-10-07 17:44:53,1975-10-16,Ville2,Pays1,NS000036994,12345
699,Name2672,FistName2672,Actif,2015-02-12 11:56:01,2015-02-12 11:56:01,1988-01-18,Ville25,Pays2,NS000002672,12345
6891,Name32723,FistName32723,Actif,2004-06-02 14:06:14,2004-06-02 14:06:14,1933-07-17,Ville22,Pays4,NS000032723,12345
3163,Name14854,FistName14854,Actif,2000-03-26 01:25:46,2000-03-26 01:25:46,1992-08-07,Ville18,Pays1,NS000014854,12345
10189,Name48190,FistName48190,Actif,2010-03-15 01:35:02,2010-03-15 01:35:02,1982-07-24,Ville22,Pays2,NS000048190,12345
7730,Name36508,FistName36508,Actif,2003-07-25 16:39:46,2003-07-25 16:39:46,1989-06-25,Ville10,Pays1,NS000036508,12345
7616,Name35899,FistName35899,Actif,1998-04-13 23:39:47,1998-04-13 23:39:47,1982-04-11,Ville18,Pays1,NS000035899,12345
5491,Name26017,FistName26017,Actif,2002-01-18 17:15:13,2002-01-18 17:15:13,1939-11-22,Ville7,Pays2,NS000026017,12345
5692,Name26972,FistName26972,Actif,1999-10-22 19:34:07,1999-10-22 19:34:07,1943-06-11,Ville8,Pays2,NS000026972,12345
6952,Name32982,FistName32982,Actif,2004-04-03 05:45:04,2004-04-03 05:45:04,1956-05-08,Ville12,Pays2,NS000032982,12345
3886,Name18343,FistName18343,Actif,2009-05-19 23:58:35,2009-05-19 23:58:35,1994-11-08,Ville10,Pays3,NS000018343,12345
2508,Name11690,FistName11690,Actif,2001-02-12 05:52:46,2001-02-12 05:52:46,1962-10-12,Ville7,Pays1,NS000011690,12345
8473,Name39945,FistName39945,Actif,1999-01-01 11:21:07,1999-01-01 11:21:07,1967-01-02,Ville8,Pays2,NS000039945,12345
1485,Name6564,FistName6564,Actif,2009-10-24 09:05:57,2009-10-24 09:05:57,2016-10-14,Ville9,Pays2,NS000006564,12345
658,Name2502,FistName2502,Actif,2017-04-07 04:38:12,2017-04-07 04:38:12,1942-04-23,Ville20,Pays3,NS000002502,12345
1190,Name5124,FistName5124,Actif,2000-04-23 18:37:18,2000-04-23 18:37:18,1941-06-18,Ville19,Pays1,NS000005124,12345
3265,Name15397,FistName15397,Actif,2023-05-21 18:55:23,2023-05-21 18:55:23,1953-08-06,Ville8,Pays3,NS000015397,12345
1100,Name4685,FistName4685,Actif,2012-09-16 14:54:01,2012-09-16 14:54:01,2005-07-17,Ville8,Pays1,NS000004685,12345
5429,Name25709,FistName25709,Actif,2022-04-09 08:41:11,2022-04-09 08:41:11,2012-07-19,Ville8,Pays1,NS000025709,12345
623,Name2350,FistName2350,Actif,2021-10-08 20:28:23,2021-10-08 20:28:23,1968-09-01,Ville9,Pays3,NS000002350,12345
2338,Name10872,FistName10872,Actif,2023-03-02 08:55:05,2023-03-02 08:55:05,1985-03-20,Ville14,Pays2,NS000010872,12345
5388,Name25540,FistName25540,Actif,2012-02-03 06:42:13,2012-02-03 06:42:13,2004-11-15,Ville21,Pays1,NS000025540,12345
6883,Name32668,FistName32668,Actif,2019-02-25 06:04:37,2019-02-25 06:04:37,1945-02-05,Ville23,Pays1,NS000032668,12345
4212,Name20023,FistName20023,Actif,1998-11-06 10:06:24,1998-11-06 10:06:24,1960-07-16,Ville23,Pays1,NS000020023,12345
1870,Name8629,FistName8629,Actif,2017-10-01 07:34:57,2017-10-01 07:34:57,1954-01-09,Ville19,Pays1,NS000008629,12345
4802,Name22814,FistName22814,Actif,2001-10-04 01:01:34,2001-10-04 01:01:34,1982-09-17,Ville18,Pays1,NS000022814,12345
9186,Name43434,FistName43434,Actif,2007-05-06 23:41:16,2007-05-06 23:41:16,2014-11-02,Ville6,Pays3,NS000043434,12345
7217,Name34040,FistName34040,Actif,2012-05-05 19:44:58,2012-05-05 19:44:58,1976-04-25,Ville14,Pays1,NS000034040,12345
1192,Name5133,FistName5133,Actif,2002-11-25 21:15:42,2002-11-25 21:15:42,2006-10-10,Ville14,Pays1,NS000005133,12345
9720,Name45921,FistName45921,Actif,2002-09-06 01:36:47,2002-09-06 01:36:47,1968-11-07,Ville10,Pays2,NS000045921,12345
417,Name1354,FistName1354,Actif,2012-04-19 05:02:33,2012-04-19 05:02:33,2013-07-11,Ville24,Pays1,NS000001354,12345
4272,Name20313,FistName20313,Actif,1997-02-04 15:38:50,1997-02-04 15:38:50,2002-09-12,Ville18,Pays2,NS000020313,12345
4069,Name19297,FistName19297,Actif,2016-05-15 07:36:05,2016-05-15 07:36:05,2007-11-17,Ville15,Pays1,NS000019297,12345
2389,Name11081,FistName11081,Actif,2002-02-17 20:40:22,2002-02-17 20:40:22,1949-10-04,Ville5,Pays2,NS000011081,12345
1550,Name6905,FistName6905,Actif,2012-04-25 15:11:44,2012-04-25 15:11:44,2002-03-22,Ville6,Pays2,NS000006905,12345
2382,Name11042,FistName11042,Actif,2021-07-24 14:05:40,2021-07-24 14:05:40,2015-10-10,Ville16,Pays3,NS000011042,12345
8094,Name38198,FistName38198,Actif,2012-02-15 15:59:04,2012-02-15 15:59:04,1968-02-08,Ville1,Pays1,NS000038198,12345
9540,Name45045,FistName45045,Actif,2012-04-16 21:32:30,2012-04-16 21:32:30,1945-10-03,Ville24,Pays2,NS000045045,12345
4323,Name20554,FistName20554,Actif,2000-10-12 16:15:05,2000-10-12 16:15:05,1931-09-03,Ville22,Pays1,NS000020554,12345
5155,Name24455,FistName24455,Actif,2006-10-04 15:04:33,2006-10-04 15:04:33,1998-04-06,Ville8,Pays4,NS000024455,12345
5966,Name28277,FistName28277,Actif,2017-06-07 05:28:32,2017-06-07 05:28:32,1974-07-02,Ville24,Pays1,NS000028277,12345
7670,Name36217,FistName36217,Actif,2017-02-24 23:36:45,2017-02-24 23:36:45,1978-06-03,Ville17,Pays3,NS000036217,12345
9085,Name43004,FistName43004,Actif,1998-07-08 10:04:12,1998-07-08 10:04:12,1970-01-15,Ville21,Pays1,NS000043004,12345
8844,Name41849,FistName41849,Actif,1999-11-10 06:56:47,1999-11-10 06:56:47,1987-08-27,Ville13,Pays1,NS000041849,12345
8905,Name42134,FistName42134,Actif,2013-01-11 12:10:31,2013-01-11 12:10:31,2008-09-16,Ville7,Pays2,NS000042134,12345
1898,Name8759,FistName8759,Actif,2009-04-17 05:22:47,2009-04-17 05:22:47,1988-08-20,Ville5,Pays1,NS000008759,12345
4860,Name23095,FistName23095,Actif,2007-04-19 23:30:57,2007-04-19 23:30:57,1971-05-27,Ville22,Pays1,NS000023095,12345
151,Name181,FistName181,Actif,1999-02-04 13:41:31,1999-02-04 13:41:31,1999-07-27,Ville24,Pays2,NS000000181,12345
156,Name200,FistName200,Actif,2007-03-25 02:41:08,2007-03-25 02:41:08,1935-10-21,Ville25,Pays1,NS000000200,12345
6264,Name29835,FistName29835,Actif,2017-04-18 10:33:28,2017-04-18 10:33:28,1952-10-04,Ville17,Pays2,NS000029835,12345
2221,Name10363,FistName10363,Actif,1997-11-01 01:36:46,1997-11-01 01:36:46,1939-01-14,Ville3,Pays2,NS000010363,12345
8252,Name38969,FistName38969,Actif,1998-08-08 22:12:43,1998-08-08 22:12:43,2003-10-04,Ville8,Pays3,NS000038969,12345
2765,Name12951,FistName12951,Actif,2007-08-19 10:30:40,2007-08-19 10:30:40,2007-03-01,Ville2,Pays2,NS000012951,12345
4809,Name22851,FistName22851,Actif,2017-09-09 12:18:17,2017-09-09 12:18:17,1943-11-24,Ville22,Pays2,NS000022851,12345
6614,Name31459,FistName31459,Actif,2013-07-04 03:56:42,2013-07-04 03:56:42,1983-07-07,Ville1,Pays2,NS000031459,12345
2823,Name13249,FistName13249,Actif,1997-10-22 12:37:14,1997-10-22 12:37:14,1971-03-03,Ville8,Pays3,NS000013249,12345
8769,Name41500,FistName41500,Actif,1998-02-15 01:28:50,1998-02-15 01:28:50,1940-07-06,Ville9,Pays2,NS000041500,12345
6071,Name28801,FistName28801,Actif,2018-08-20 12:36:56,2018-08-20 12:36:56,1965-02-14,Ville2,Pays3,NS000028801,12345
485,Name1677,FistName1677,Actif,2005-08-10 19:44:39,2005-08-10 19:44:39,1987-06-17,Ville13,Pays1,NS000001677,12345
5476,Name25959,FistName25959,Actif,1999-11-10 10:22:54,1999-11-10 10:22:54,1969-04-02,Ville25,Pays2,NS000025959,12345
10322,Name48785,FistName48785,Actif,2021-06-01 19:41:40,2021-06-01 19:41:40,1997-07-25,Ville10,Pays3,NS000048785,12345
3498,Name16554,FistName16554,Actif,2018-02-14 22:23:31,2018-02-14 22:23:31,1962-05-20,Ville14,Pays1,NS000016554,12345
653,Name2484,FistName2484,Actif,2011-09-23 09:04:54,2011-09-23 09:04:54,1988-06-12,Ville24,Pays1,NS000002484,12345
2484,Name11595,FistName11595,Actif,2004-10-21 16:39:42,2004-10-21 16:39:42,1940-03-24,Ville22,Pays3,NS000011595,12345
4717,Name22422,FistName22422,Actif,2002-02-23 03:28:35,2002-02-23 03:28:35,1981-10-20,Ville10,Pays3,NS000022422,12345
7283,Name34325,FistName34325,Actif,1999-05-21 22:22:49,1999-05-21 22:22:49,2002-01-19,Ville6,Pays3,NS000034325,12345
1403,Name6170,FistName6170,Actif,2008-11-06 09:49:15,2008-11-06 09:49:15,2015-05-24,Ville22,Pays2,NS000006170,12345
5497,Name26062,FistName26062,Actif,2011-06-02 23:39:42,2011-06-02 23:39:42,1982-11-16,Ville1,Pays1,NS000026062,12345
9097,Name43053,FistName43053,Actif,2003-11-12 09:51:44,2003-11-12 09:51:44,2009-03-25,Ville13,Pays2,NS000043053,12345
2177,Name10150,FistName10150,Actif,2000-03-26 16:09:21,2000-03-26 16:09:21,1952-09-18,Ville11,Pays1,NS000010150,12345
4442,Name21146,FistName21146,Actif,1998-02-21 04:50:10,1998-02-21 04:50:10,2002-06-11,Ville20,Pays2,NS000021146,12345
4838,Name22983,FistName22983,Actif,2004-10-05 02:37:38,2004-10-05 02:37:38,2007-05-24,Ville24,Pays2,NS000022983,12345
7804,Name36834,FistName36834,Actif,2002-01-18 13:34:05,2002-01-18 13:34:05,1979-08-24,Ville6,Pays1,NS000036834,12345
4134,Name19622,FistName19622,Actif,1997-11-27 16:29:11,1997-11-27 16:29:11,1947-06-06,Ville11,Pays1,NS000019622,12345
9292,Name43898,FistName43898,Actif,2018-09-22 03:20:04,2018-09-22 03:20:04,1951-08-11,Ville2,Pays2,NS000043898,12345
10230,Name48378,FistName48378,Actif,2011-10-03 18:15:53,2011-10-03 18:15:53,1966-02-06,Ville4,Pays2,NS000048378,12345
10555,Name49750,FistName49750,Actif,2007-10-06 04:18:15,2007-10-06 04:18:15,2005-07-11,Ville12,Pays1,NS000049750,12345
8216,Name38797,FistName38797,Actif,2008-03-24 13:34:42,2008-03-24 13:34:42,1938-07-03,Ville3,Pays2,NS000038797,12345
3354,Name15871,FistName15871,Actif,2001-07-27 14:30:15,2001-07-27 14:30:15,1975-02-23,Ville24,Pays2,NS000015871,12345
6082,Name28853,FistName28853,Actif,2003-10-24 16:54:50,2003-10-24 16:54:50,2010-08-21,Ville25,Pays1,NS000028853,12345
7825,Name36908,FistName36908,Actif,2000-06-25 14:13:12,2000-06-25 14:13:12,1944-02-07,Ville15,Pays2,NS000036908,12345
7300,Name34384,FistName34384,Actif,2013-11-13 22:58:18,2013-11-13 22:58:18,1982-04-11,Ville5,Pays1,NS000034384,12345
4296,Name20407,FistName20407,Actif,2020-10-27 16:29:19,2020-10-27 16:29:19,1944-10-21,Ville16,Pays1,NS000020407,12345
6219,Name29580,FistName29580,Actif,2002-07-20 13:32:51,2002-07-20 13:32:51,2006-04-04,Ville19,Pays1,NS000029580,12345
5247,Name24828,FistName24828,Actif,2007-07-27 10:40:16,2007-07-27 10:40:16,1987-11-12,Ville15,Pays3,NS000024828,12345
6009,Name28462,FistName28462,Actif,2023-08-12 20:20:25,2023-08-12 20:20:25,1936-01-06,Ville7,Pays3,NS000028462,12345
9744,Name46022,FistName46022,Actif,2020-04-15 19:28:21,2020-04-15 19:28:21,1943-04-07,Ville7,Pays1,NS000046022,12345
4331,Name20601,FistName20601,Actif,1997-10-24 14:56:01,1997-10-24 14:56:01,1989-03-15,Ville2,Pays1,NS000020601,12345
1384,Name6078,FistName6078,Actif,2006-08-05 20:26:44,2006-08-05 20:26:44,1954-03-07,Ville10,Pays2,NS000006078,12345
3847,Name18149,FistName18149,Actif,2005-06-16 17:56:17,2005-06-16 17:56:17,1977-08-20,Ville20,Pays2,NS000018149,12345
1666,Name7514,FistName7514,Actif,2014-02-13 13:33:23,2014-02-13 13:33:23,1932-01-24,Ville3,Pays1,NS000007514,12345
4040,Name19139,FistName19139,Actif,2000-07-13 16:54:29,2000-07-13 16:54:29,2011-10-04,Ville16,Pays1,NS000019139,12345
7082,Name33448,FistName33448,Actif,2004-04-27 02:45:39,2004-04-27 02:45:39,1994-02-21,Ville8,Pays3,NS000033448,12345
7267,Name34254,FistName34254,Actif,2015-03-18 09:23:02,2015-03-18 09:23:02,1936-09-20,Ville4,Pays1,NS000034254,12345
6080,Name28839,FistName28839,Actif,2004-04-26 10:47:59,2004-04-26 10:47:59,2007-08-25,Ville16,Pays3,NS000028839,12345
3777,Name17808,FistName17808,Actif,2011-10-16 20:03:33,2011-10-16 20:03:33,1963-02-01,Ville19,Pays3,NS000017808,12345
1611,Name7206,FistName7206,Actif,2000-06-17 11:22:44,2000-06-17 11:22:44,1955-09-25,Ville15,Pays2,NS000007206,12345
7070,Name33418,FistName33418,Actif,2019-02-13 06:31:48,2019-02-13 06:31:48,1971-11-16,Ville5,Pays3,NS000033418,12345
8132,Name38421,FistName38421,Actif,1997-09-27 07:49:27,1997-09-27 07:49:27,2010-02-04,Ville18,Pays1,NS000038421,12345
5094,Name24208,FistName24208,Actif,2016-06-07 12:26:19,2016-06-07 12:26:19,1931-09-19,Ville10,Pays1,NS000024208,12345
2655,Name12443,FistName12443,Actif,2005-04-19 22:13:54,2005-04-19 22:13:54,2000-01-08,Ville4,Pays1,NS000012443,12345
7524,Name35452,FistName35452,Actif,2015-05-04 17:10:38,2015-05-04 17:10:38,1962-07-06,Ville2,Pays3,NS000035452,12345
771,Name3072,FistName3072,Actif,2017-10-11 14:07:09,2017-10-11 14:07:09,1996-10-05,Ville24,Pays1,NS000003072,12345
9433,Name44571,FistName44571,Actif,1999-08-10 07:09:27,1999-08-10 07:09:27,1973-01-08,Ville2,Pays1,NS000044571,12345
571,Name2102,FistName2102,Actif,2020-06-17 20:14:05,2020-06-17 20:14:05,1949-03-08,Ville21,Pays2,NS000002102,12345
1092,Name4641,FistName4641,Actif,2005-05-20 13:16:26,2005-05-20 13:16:26,1931-02-06,Ville23,Pays1,NS000004641,12345
6250,Name29748,FistName29748,Actif,2004-10-16 02:43:31,2004-10-16 02:43:31,1976-03-05,Ville23,Pays1,NS000029748,12345
2404,Name11200,FistName11200,Actif,2017-11-08 01:18:15,2017-11-08 01:18:15,1985-03-09,Ville14,Pays2,NS000011200,12345
7476,Name35249,FistName35249,Actif,2023-08-22 16:28:03,2023-08-22 16:28:03,1965-07-11,Ville21,Pays2,NS000035249,12345
1908,Name8793,FistName8793,Actif,2017-09-14 21:18:55,2017-09-14 21:18:55,1979-01-16,Ville25,Pays2,NS000008793,12345
1864,Name8603,FistName8603,Actif,2014-03-04 06:13:42,2014-03-04 06:13:42,1964-09-13,Ville19,Pays1,NS000008603,12345
4708,Name22378,FistName22378,Actif,1997-01-07 15:26:59,1997-01-07 15:26:59,1936-07-22,Ville10,Pays4,NS000022378,12345
9844,Name46491,FistName46491,Actif,2001-07-10 01:41:13,2001-07-10 01:41:13,2007-02-25,Ville21,Pays2,NS000046491,12345
7886,Name37243,FistName37243,Actif,2015-06-08 18:58:38,2015-06-08 18:58:38,1995-07-22,Ville5,Pays2,NS000037243,12345
1692,Name7637,FistName7637,Actif,2006-03-16 22:30:04,2006-03-16 22:30:04,1966-10-09,Ville9,Pays3,NS000007637,12345
3866,Name18242,FistName18242,Actif,2010-04-15 20:29:54,2010-04-15 20:29:54,1936-08-05,Ville16,Pays1,NS000018242,12345
1615,Name7223,FistName7223,Actif,1998-03-19 06:27:35,1998-03-19 06:27:35,2014-04-22,Ville16,Pays3,NS000007223,12345
2934,Name13757,FistName13757,Actif,2011-02-22 14:52:55,2011-02-22 14:52:55,1964-08-14,Ville24,Pays2,NS000013757,12345
5385,Name25530,FistName25530,Actif,2017-02-03 14:05:57,2017-02-03 14:05:57,2001-09-09,Ville10,Pays3,NS000025530,12345
5827,Name27575,FistName27575,Actif,2013-11-20 06:08:25,2013-11-20 06:08:25,1966-08-23,Ville22,Pays3,NS000027575,12345
1372,Name6026,FistName6026,Actif,1998-04-15 05:28:23,1998-04-15 05:28:23,2010-08-12,Ville21,Pays1,NS000006026,12345
2078,Name9584,FistName9584,Actif,2000-02-09 07:54:14,2000-02-09 07:54:14,2007-10-22,Ville21,Pays3,NS000009584,12345
5089,Name24181,FistName24181,Actif,2012-10-21 01:53:36,2012-10-21 01:53:36,1940-05-16,Ville25,Pays2,NS000024181,12345
7373,Name34680,FistName34680,Actif,1999-06-11 23:55:29,1999-06-11 23:55:29,1966-11-19,Ville2,Pays2,NS000034680,12345
4474,Name21316,FistName21316,Actif,1999-09-20 11:30:05,1999-09-20 11:30:05,2001-10-07,Ville14,Pays1,NS000021316,12345
3239,Name15293,FistName15293,Actif,2002-01-06 05:34:53,2002-01-06 05:34:53,1950-02-12,Ville16,Pays3,NS000015293,12345
8046,Name37981,FistName37981,Actif,2003-03-08 19:07:02,2003-03-08 19:07:02,1939-11-11,Ville17,Pays2,NS000037981,12345
9112,Name43130,FistName43130,Actif,2010-09-13 02:29:20,2010-09-13 02:29:20,1988-02-16,Ville13,Pays1,NS000043130,12345
5906,Name27949,FistName27949,Actif,2021-06-17 18:29:58,2021-06-17 18:29:58,1992-09-19,Ville25,Pays4,NS000027949,12345
